j,xj,F(xj),S(xj),|F(xj)-S(xj)|,dF(xj),dS(xj),|dF(xj)-dS(xj)|,ddF(xj),ddS(xj),|ddF(xj)-ddS(xj)|
60,0.12365174553822401,0.3331716502383367,-0.2657845511089615,0.5989562013472982,-9.364456644825006,-8.779664612266641,0.5847920325583651,-32.15231135224965,35.344810662456474,67.49712201470612
61,0.12574753783548204,0.3134765337748922,-0.2841072812684214,0.5975838150433136,-9.429762008144952,-8.704961472858137,0.7248005352868141,-30.165814052220288,35.94387524999477,66.10968930221506
62,0.12784333013274007,0.2936489235914002,-0.3022721335144495,0.5959210571058497,-9.490889752877495,-8.629002818501556,0.8618869343759386,-28.165784965601926,36.5429398374592,64.70872480306113
63,0.1299391224299981,0.27369760418472544,-0.3202764765484883,0.5939740807332137,-9.54781243888773,-8.551788649197116,0.9960237896906143,-26.153102694757735,37.14200442492884,63.29510711968658
64,0.13203491472725615,0.25363141562685193,-0.33811767907198154,0.5917490946988335,-9.600504473302756,-8.473318964944577,1.1271855083581794,-24.12865140206554,37.74106901247519,61.86972041454072
65,0.13413070702451418,0.23345924968147883,-0.35579310978637085,0.5892523594678497,-9.648942121757775,-8.393593765743857,1.2553483560139185,-22.09332042157638,38.340133599984235,60.433454021560614
66,0.13622649932177222,0.21319004589790128,-0.37330013739309964,0.5864901832910009,-9.69310351882591,-8.312613051595195,1.3804904672307146,-20.04800386840154,38.93919818746107,58.98720205586261
67,0.13832229161903026,0.1928327876838925,-0.3906361305936105,0.583468918277503,-9.732968677627131,-8.230376822498487,1.5025918551286441,-17.99360024599971,39.538262774959954,57.53186302095966
68,0.1404180839162883,0.17239649835930998,-0.40779845808934645,0.5801949564486564,-9.76851949861212,-8.146885078453744,1.6216344201583759,-15.931012051536507,40.1373273624529,56.068339413989406
69,0.14251387621354633,0.15189023719216121,-0.4247844885817501,0.5766747257739113,-9.799739777517145,-8.06213781946098,1.737601958056164,-13.861145379490008,40.73639194995814,54.597537329448144
70,0.14460966851080437,0.13132309541886975,-0.4415915907722645,0.5729146861911343,-9.826615212486507,-7.976135045520131,1.850480166966376,-11.784909523676193,41.33545653747001,53.1203660611462
71,0.14670546080806238,0.11070419225048989,-0.45821713336233183,0.5689213256128217,-9.849133410359418,-7.888876756631234,1.9602566537281838,-9.703216577869322,41.934521124946855,51.637737702816175
72,0.1488012531053204,0.09004267086662,-0.4746584850533957,0.5647011559200157,-9.867283892118524,-7.800362952794396,2.0669209393241275,-7.616981035192117,42.53358571244885,50.150566747640966
73,0.15089704540257845,0.06934769439878302,-0.49091301454689873,0.5602607089456817,-9.881058097497718,-7.710593634009404,2.1704644634883135,-5.527119386452659,43.132650299989045,48.659769686441706
74,0.1529928376998365,0.048628441905027006,-0.5069780905442832,0.5556065324493102,-9.890449388747179,-7.619568800276313,2.270880588470866,-3.4345497176032698,43.731714887459745,47.16626460506301
75,0.15508862999709452,0.02789410433752417,-0.5228510817469922,0.5507451860845164,-9.895453053554023,-7.527288451595359,2.3681646019586644,-1.340191306499222,44.330779474924086,45.67097078142331
